ID;English;Chinese Simplified;Chinese Traditional;Czech;Danish;German;Greek;Finnish;French;Indonesian;Italian;Japanese;Korean;Dutch;Norwegian;Polish;Portugese;Spanish;Swedish;Tagalog
1200001711;Girgashite(s);革迦撒人;革迦撒人;GIRGAŠEJCI;GIRGASJITTER;Girgaschiter;ΓΕΡΓΕΣΑΙΟΙ;Girgasilaiset;Guirgashite(s);GIRGASYI, ORANG;Ghirgasei;ギルガシ人;기르가스 사람(들);GIRGASIET(EN);GIRGASJITTER;GIRGASZYCI;Girgaseu(s);GUIRGASEOS;GIRGASÉER;GIRGASITA, (MGA)
1200001712;Girzites;基兹人;基兹人;GIRZEJCI;GIRZITTER;Girsiter;ΓΙΡΖΙΤΕΣ;Girsiläiset;Guirzites;GIRZI, ORANG;Ghirziti;ギルズ人;기르스 사람들;GIRZIETEN;GIRSITTER;GIRZYCI;Girzitas;GUIRZITAS;GIRSITER;GIRZITA, MGA
1200001713;Gishpa;基斯帕;基斯帕;GIŠPA;GISJPA;Gischpa;ΓΙΣΠΑ;Gispa;Guishpa;GISPA;Ghispa;ギシュパ;기스바;GISPA;GISJPA;GISZPA;Gispa;GUISPÁ;GISPA;GISPA
1200001714;Gittaim;基他音;基他音;GITTAJIM;GITTAJIM;Gittajim;ΓΙΤΘΑΪΜ;Gittaim;Guittaïm;GITAIM;Ghittaim;ギタイム;깃다임;GITTAÏM;GITTAJIM;GITTAIM;Gitaim;GUITAIM;GITTAJIM;GITAIM
1200001715;Gittite;迦特人;迦特人;GAŤAN;GITTIT;Gathiter;ΓΙΘΙΤΗΣ;Gatilainen;Guittite;GAT, ORANG;Gattita;ギト人;가드 사람;GATHIET;GITTITT;GITTYTA;Geteu;GUITITAS;GITTITER;GITEO
1200001716;Gittith;“吉提特”调;“吉提特”調;GITTIT;GITTĪTH;Gittith;ΓΙΤΤΙΘ;Gittit;Guittith;GITIT;Ghittit;ギテト;깃딧;GITTITH;GITTIT;GITTIT;Gitite;GUITIT;GITTIT;GITIT
1200001717;Gizonite;基孙人;基孫人;GIZONITA;GIZONIT;Gisoniter;ΓΙΖΩΝΙΤΗΣ;Gisonilainen;Guizonite;GIZON, ORANG;Ghizonita;ギゾン人;기손 사람;GIZONIET;GISONITT;GIZONITA;Gizonita;GUIZONITA;GISONIT;GIZONITA
1200001718;Glass;玻璃;玻璃;SKLO;GLAS;Glas;ΓΥΑΛΙ;Lasi;Verre;KACA;Vetro;ガラス;유리;GLAS;GLASS;SZKŁO;Vidro;VIDRIO;GLAS;SALAMIN, I
1200001719;Gleaning;拾取遗下的庄稼;拾取遺下的莊稼;PABĚRKOVÁNÍ;SANKNING;Nachlese;ΣΤΑΧΥΟΛΟΓΗΣΗ;Jälkikorjuu;Glaner, grappiller;PUNGUT, MEMUNGUT SISA;Spigolatura, Racimolatura;落ち穂拾い，採り残しを集める;이삭줍기;NALEZING;SANKING;POKŁOSIE;Respiga, rebusca;REBUSCA;EFTERSKÖRD;PAGHIHIMALAY
1200001720;Glede;鹰隼;鷹隼;;;Weihe;ΜΙΛΒΟΣ;Syöksyhaukka;;ALAP-ALAP;;とび，I;;;;;Mioto;;;LAWING MANDARAGIT
1200001721;Glory;荣耀;榮耀;SLÁVA;HERLIGHED;Herrlichkeit;ΔΟΞΑ;;Gloire;MULIA, KEMULIAAN;Gloria;栄光;영광;HEERLIJKHEID;HERLIGHET;CHWAŁA;Glória;GLORIA;HÄRLIGHET;KALUWALHATIAN
1200001722;Glutton;贪食之徒;貪食之徒;NENASYTA;FRÅDSER, FRÅDSERI;Schlemmer;ΛΑΙΜΑΡΓΟΣ;Ahmatti;Glouton, goinfre;GELOJOH;Ghiottone;大食い，大食家，貪欲な者;탐식가;VEELVRAAT;FRÅTSER;ŻARŁOK;Glutão;GLOTÓN;FROSSARE;MATAKAW
1200001723;Gnat;蚊虫;蚊蟲;KOMÁR;MYG;Stechmücken;ΣΚΝΙΠΑ;Sääski;Moustique;AGAS;Culice;ぶよ;각다귀;MUG;MYGG;KOMAR;Borrachudo, mosquito;JEJÉN;MYGGA;NIKNIK
1200001724;Goad;刺棒;刺棒;BODEC;PIGKÆP;Stachel;ΒΟΥΚΕΝΤΡΟ;Tutkain;Aiguillon;KUSA;Pungolo;突き棒;몰이 막대기;PRIKKEL;PIGGSTAV;OŚCIEŃ;Aguilhada;AGUIJADA;PIKSTAV;TUNGKOD NA PANTABOY
1200001725;Goah;歌亚;歌亞;GOA;GOA;Goa;ΓΟΑΘ;Goa;Goa;GOA;Goa;ゴア;고아, I;GOA;GOA;GOA;Goa;GOÁ;GOA;GOA
1200001726;Goat;山羊;山羊;KOZA;GED;Ziege;ΚΑΤΣΙΚΙ;Vuohi;Chèvre, bouc;KAMBING;Capra, Capro;やぎ;염소;GEIT;GEIT;KOZA;Cabrito (bode);CABRA;GET;KAMBING
1200001727;Goat-shaped Demon;山羊魔，魔羊;山羊魔，魔羊;DÉMON V;BUKKELIGNENDE DÆMON;Bockgestaltiger Dämon;ΤΡΑΓΟΜΟΡΦΟΣ ΔΑΙΜΟΝΑΣ;Vuohenmuotoinen demoni;Démon en forme de bouc;HANTU BERBENTUK KAMBING;Demonio a forma di capro;やぎの形をした悪霊;염소 모양의 악귀;DEMON IN BOKKEGEDAANTE;GEITLIGNENDE DEMON;KOZŁOKSZTAŁTNY DEMON;Demônio caprino;DEMONIO DE FORMA DE CABRA;BOCKLIKNANDE DEMON;HUGIS-KAMBING NA DEMONYO
1200001728;Gob;歌伯;歌伯;GOB;GOB;Gob;ΓΩΒ;Gob;Gob;GOB;Gob;ゴブ;곱;GOB;GOB;GOB;Gobe;GOB;GOB;GOB
1200001729;God;上帝，神;上帝，神;BŮH;GUD;Gott;ΘΕΟΣ;Jumala;Dieu;ALLAH;Dio;神;하느님, 신;GOD;GUD;BÓG;Deus;DIOS;GUD;DIYOS
1200001730;Godly Devotion;敬虔，敬神，虔诚;敬虔，敬神，虔誠;ZBOŽNÁ ODDANOST;GUDHENGIVENHED;Gottergebenheit;ΘΕΟΣΕΒΗΣ ΑΦΟΣΙΩΣΗ;Jumalinen antaumus;Attachement à Dieu;PENGABDIAN YANG SALEH;Santa devozione;敬虔な専心;경건한 정성;GODVRUCHTIGE TOEWIJDING;GUDHENGIVENHET;ZBOŻNE ODDANIE;Devoção piedosa;DEVOCIÓN PIADOSA;GUDHÄNGIVENHET;MAKADIYOS NA DEBOSYON
1200001731;God of Good Luck, God of Destiny;幸运之神，命运之神;幸運之神，命運之神;BŮH ŠTĚSTÍ, BŮH OSUDU;LYKKEGUDEN, SKÆBNEGUDEN;Gott des „Glücks“, Gott des „Schicksals“;ΘΕΟΣ ΤΗΣ ΚΑΛΗΣ ΤΥΧΗΣ, ΘΕΟΣ ΤΟΥ ΠΕΠΡΩΜΕΝΟΥ;Onnenjumala, kohtalonjumala;Dieu de la Chance, dieu du Destin;ALLAH KEBERUNTUNGAN;Dio della Buona Fortuna;幸運の神，運命の神;행운 신, 운명 신;GOD VAN HET GELUK, GOD VAN HET LOT;LYKKEGUDEN, SKJEBNEGUDEN;BÓSTWO SZCZĘŚCIA, BÓSTWO PRZEZNACZENIA;Deus da Boa Sorte, deus do Destino;DIOS DE LA BUENA SUERTE, DIOS DEL DESTINO;GUDEN LYCKAN, GUDEN ÖDET;DIYOS NG SUWERTE, DIYOS NG TADHANA
1200001732;Gods and Goddesses;男女神祇;男女神祇;BOHOVÉ A;GUDER OG GUDINDER;Götter, Göttinnen;ΘΕΟΙ ΚΑΙ ΘΕΕΣ;Jumalat ja jumalattaret;Dieux et déesses;DEWA DAN DEWI;Dei e Dee;神々（男神，女神）;신들과 여신들;GODEN EN GODINNEN;GUDER OG GUDINNER;BOGOWIE I;Deuses e deusas;DIOSES Y DIOSAS;GUDAR OCH GUDINNOR;DIYOS AT DIYOSA, MGA
1200001733;God the God of Israel;上帝是以色列的上帝;上帝是以色列的上帝;BŮH, BŮH IZRAELE;GUD, ISRAELS GUD;Gott, der Gott Israels;ΘΕΟΣ Ο ΘΕΟΣ ΤΟΥ ΙΣΡΑΗΛ;Jumala, Israelin Jumala;Dieu le Dieu d’Israël;ALLAH ISRAEL ADALAH ALLAH;Dio l’Iddio d’Israele;イスラエルの神なる神;하느님 이스라엘의 하느님;GOD, DE GOD VAN ISRAËL;GUD, ISRAELS GUD;BÓG, BÓG IZRAELA;Deus, o Deus de Israel;DIOS EL DIOS DE ISRAEL;GUD, ISRAELS GUD;DIYOS ANG DIYOS NI
1200001734;Gog;歌革;歌革;GOG;GOG;Gog;ΓΩΓ;Gog;Gog;GOG;Gog;ゴグ;곡;GOG;GOG;GOG;Gogue;GOG;GOG;GOG
1200001735;Goiim;戈印;戈印;GOJIM;GOJIM;Gojim;ΓΚΟΓΙΜ;Gojim;Goyim;GOYIM;Goim;ゴイム;고임;GOJIM;GOJIM;GOIM;Goim;GOYIM;GOJIM;GOIIM
1200001736;Golan;戈兰;戈蘭;GOLAN;GOLAN;Golan;ΓΚΟΛΑΝ;Golan;Golân;GOLAN;Golan;ゴラン;골란;GOLAN;GOLAN;GOLAN;Golã;GOLÁN;GOLAN;GOLAN
1200001737;Gold;金;金;ZLATO;GULD;Gold;ΧΡΥΣΑΦΙ;Kulta;Or;EMAS;Oro;金;금;GOUD;GULL;ZŁOTO;Ouro;ORO;GULD;GINTO
1200001738;Golgotha;各各他;各各他;GOLGOTA;GOLGATA;Golgotha;ΓΟΛΓΟΘΑΣ;Golgata;Golgotha;GOLGOTA;Golgota;ゴルゴタ;골고타;GOLGOTHA;GOLGATA;GOLGOTA;Gólgota;GÓLGOTHA;GOLGOTA;GOLGOTA
1200001739;Goliath;歌利亚;歌利亞;GOLIAT;GOLIAT;Goliath;ΓΟΛΙΑΘ;Goljat;Goliath;GOLIAT;Golia;ゴリアテ;골리앗;GOLIATH;GOLIAT;GOLIAT;Golias;GOLIAT;GOLJAT;GOLIAT
1200001740;Gomer;歌篾;歌篾;GOMER;GOMER;Gomer I;ΓΟΜΕΡ;Gomer;Gomer;GOMER.;Gomer;ゴメル;고멜;GOMER (I);GOMER;GOMER;Gômer;GÓMER;GOMER (1);GOMER
1200001741;Gomorrah;蛾摩拉;蛾摩拉;GOMORA;GOMORRA;Gomorra;ΓΟΜΟΡΡΑ;Gomorra;Gomorrhe;GOMORA;Gomorra;ゴモラ;고모라;GOMORRA;GOMORRA;GOMORA;Gomorra;GOMORRA;GOMORRA;GOMORRA
1200001742;Goodness;良善;良善;DOBROTA;GODHED;Güte, Gutes;ΑΓΑΘΟΤΗΤΑ;Hyvyys;Bonté;BAIK, KEBAIKAN;Bontà;善良;선, 선함;GOEDHEID;GODHET;DOBROĆ;Bondade;;GODHET;KABUTIHAN
1200001743;Good News;好消息;好消息;DOBRÁ ZPRÁVA;GOD NYHED;Gute Botschaft;ΚΑΛΑ ΝΕΑ;Hyvä uutinen;Bonne nouvelle;KABAR BAIK;Buona notizia;良いたより;좋은 소식;GOED NIEUWS;GODE BUDSKAP, DET;DOBRA NOWINA;Boas novas;BUENAS NUEVAS;GODA NYHETER;MABUTING BALITA
1200001744;Goodwill;美意，善意;美意，善意;DOBRÁ VŮLE;VELVILJE;Wohlgefallen, Wohlwollen;ΚΑΛΗ ΘΕΛΗΣΗ;Hyvä tahto;Bienveillance;KEMAUAN BAIK;Buona volontà;善意;선의;GOEDE WIL;VELVILJE, GOD VILJE;DOBRA WOLA;Boa vontade;BUENA VOLUNTAD;VÄLVILJA;KABUTIHANG-LOOB
1200001745;Goshen;歌珊;歌珊;GOŠEN;GOSEN;Gosen;ΓΕΣΕΝ;Gosen;Goshèn;GOSYEN;Gosen;ゴシェン;고센;GOSEN;GOSEN;GOSZEN;Gósen;GOSÉN;GOSEN;GOSEN
1200001746;Gossip, Slander;闲话，毁谤;閒話，毁謗;POMLUVA, TLACHÁNÍ;SLADDER, BAGVASKELSE;Geschwätz, Verleumdung;ΣΠΕΡΜΟΛΟΓΙΑ, ΣΥΚΟΦΑΝΤΙΑ;Juoruilu, panettelu;Bavardage, calomnie;FITNAH;Pettegolezzo, Calunnia;うわさ話，中傷;남의 이야기, 중상;PRAATJES, LASTER;SLADDER, BAKTALELSE;PLOTKOWANIE, OSZCZERSTWO;Tagarelice, calúnia;CHISME, CALUMNIA;FÖRTAL, SKVALLER;TSISMIS, PANINIRANG-PURI
1200001747;Gourd;瓜;瓜;TYKEV;GRÆSKAR;Kürbis;ΚΟΛΟΚΥΘΙ;Kurpitsa;Courge;LABU;Zucca;うり;박;POMPOEN;GRESSKAR;DYNIA;Bagas;CALABAZA;KURBITS;UPO
1200001748;Government;执政的，政府;執政的，政府;VLÁDA;REGERING;Regierung;ΚΥΒΕΡΝΗΣΗ;Hallitus;Gouvernement;PEMERINTAH;Governo;統治，政府;정부, 정무;REGERING;REGJERING;RZĄD;Governo;GOBIERNO;REGERING;PAMAHALAAN
1200001749;Governor;总督（罗马的），官长，省长;總督（羅馬的），官長，省長;MÍSTODRŽITEL;LANDSHØVDING;Statthalter;ΚΥΒΕΡΝΗΤΗΣ;Käskynhaltija;Gouverneur;GUBERNUR;Governatore;総督;총독;BESTUURDER, STADHOUDER;STATTHOLDER;NAMIESTNIK;Governador;GOBERNADOR;STÅTHÅLLARE;GOBERNADOR
1200001750;Governor’s Palace;总督府;總督府;MÍSTODRŽITELŮV PALÁC;LANDSHØVDINGENS PALADS;Palast des Statthalters;ΑΝΑΚΤΟΡΟ ΤΟΥ ΚΥΒΕΡΝΗΤΗ;Käskynhaltijan palatsi;Palais du gouverneur;ISTANA GUBERNUR;Governatore, Palazzo del;総督の官邸;총독 관저;PALEIS VAN DE STADHOUDER;STATTHOLDERENS PALASS;PAŁAC NAMIESTNIKA;Governador, Palácio do;PALACIO DEL GOBERNADOR;STÅTHÅLLARENS PALATS;PALASYO NG GOBERNADOR
1200001751;Gozan;歌散;歌散;GOZAN;GOZAN;Gosan;ΓΩΖΑΝ;Gosan;Gozân;GOZAN;Gozan;ゴザン;고산;GOZAN;GOSAN;GOZAN;Gozã;GOZÁN;GOSAN;GOZAN
1200001752;Grafting;嫁接;嫁接;ROUBOVÁNÍ;PODNING;Einpfropfen;ΜΠΟΛΙΑΣΜΑ;Oksastaminen;Greffe;CANGKOK;Innesto;接ぎ木;접붙이기;ENTEN;PODING;SZCZEPIENIE;Enxerto;INJERTO;YMPNING;PAGHUHUGPONG
1200001753;Grain Offering;谷祭;穀祭;OBILNÁ OBĚŤ;KORNOFFER;Getreideopfer;;Viljauhri;Offrande de grain;;;穀物の捧げ物;곡식 제물;GRAANOFFER;KORNOFFER;OFIARA ZBOŻOWA;Oferta de cereais;;SÄDESOFFER;BUTIL, HANDOG NA MGA
1200001754;Granary;粮仓;糧倉;OBILNICE;KORNKAMMER;;ΣΙΤΑΠΟΘΗΚΗ;;;LUMBUNG;Granaio;穀物倉;곡물 창고;GRAANSCHUUR;KORNKAMMER;;;GRANERO;SPANNMÅLSMAGASIN;
1200001755;Grandparents;祖父母，外祖父母;祖父母，外祖父母;PRARODIČE;BEDSTEFORÆLDRE;Großeltern;ΠΑΠΠΟΥΔΕΣ;Isovanhemmat;Grands-parents;KAKEK-NENEK;Nonni;祖父母;조부모;GROOTOUDERS;BESTEFORELDRE;DZIADKOWIE;Avós;ABUELOS;FAR- OCH MORFÖRÄLDRAR;LOLO’T LOLA, MGA
1200001756;Grape;;;HROZNY;DRUE;Trauben;ΣΤΑΦΥΛΙ;Rypäle;Raisin;;Uva;ぶどう;포도;DRUIF;DRUER;WINOGRONO;Uva;UVA;DRUVA;UBAS
1200001757;Grass;草;草;TRÁVA;GRÆS;Gras;ΧΟΡΤΑΡΙ, ΧΟΡΤΟ;Ruoho;Herbe;RUMPUT;Erba;草;풀, I;GRAS;GRESS;TRAWA;Grama;HIERBA;GRÄS;DAMO
1200001758;Grasshopper;蚱蜢;蚱蜢;;;Grashüpfer;;Heinäsirkka;;BELALANG-LOMPAT;Cavalletta;ばった;방아깨비;;;KONIK POLNY;Gafanhoto comum;SALTAMONTES;GRÄSHOPPA;TIPAKLONG
1200001759;Grave;墓，墓地;墓，墓地;HROB;;Grab;;Hauta;;KUBURAN;Tomba;墓;묘;GRAF;GRAV;GRÓB, GROBOWIEC;Sepultura, sepulcro;SEPULCRO;GRAV, GRAVPLATS;LIBINGAN
1200001760;Gravel;沙砾;沙礫;ŠTĚRK;GRUS;Kies;ΧΑΛΙΚΙΑ;Sora, I;Gravier;KERIKIL;Ghiaia;砂利;자갈;KIEZEL;GRUS;ŻWIR;Cascalho;GRAVA;GRUS;GRABA
1200001761;Gray-headedness;白发;白髮;ŠEDINY;GRÅ HÅR;Grauköpfigkeit;ΓΚΡΙΖΑ ΜΑΛΛΙΑ;Harmaapäisyys;;UBAN, BERUBAN;;白髪;백발;GRIJSHEID;GRÅTT HÅR;SIWIZNA;Cãs;CANICIE;GRÅHÅRIGHET;UBAN
1200001762;Great Crowd;大群人;大群人;VELKÝ ZÁSTUP;STOR SKARE;Große Volksmenge;ΜΕΓΑΛΟ ΠΛΗΘΟΣ;Suuri joukko;Grande foule;KUMPULAN BESAR;Grande folla;大群衆;큰 무리;GROTE SCHARE;STOR SKARE;WIELKA RZESZA;Grande multidão;GRAN MUCHEDUMBRE;STOR SKARA;MALAKING PULUTONG
1200001763;Great Sea;大海;大海;VELKÉ MOŘE;STORE HAV, DET;Großes Meer;ΜΕΓΑΛΗ ΘΑΛΑΣΣΑ;Suurimeri;Grande Mer;LAUT BESAR;Mar Grande;大海;대해;GROTE ZEE;STORHAVET;WIELKIE, MORZE;Grande Mar;MAR GRANDE;STORA HAVET;MALAKING DAGAT
1200001764;Great Tribulation;大患难;大患難;VELKÉ SOUŽENÍ;STOR TRÆNGSEL;Große Drangsal;ΜΕΓΑΛΗ ΘΛΙΨΗ;Suuri ahdistus;Grande tribulation;KESENGSARAAN BESAR;Grande tribolazione;大患難;큰 환난;GROTE VERDRUKKING;STORE TRENGSEL, DEN;WIELKI UCISK;Grande tribulação;GRAN TRIBULACIÓN;STORA VEDERMÖDAN, DEN;MALAKING KAPIGHATIAN
1200001765;Greece, Greeks;希腊，希腊人;希臘，希臘人;ŘECKO, ŘEKOVÉ;GRÆKENLAND, GRÆKERE;Griechen, Griechenland;ΕΛΛΑΔΑ, ΕΛΛΗΝΕΣ;Kreikka, kreikkalaiset;Grèce, Grecs;YUNANI;Grecia, Greci;ギリシャ，ギリシャ人;그리스, 그리스인;GRIEKENLAND, GRIEKEN;HELLAS, GREKERE;GRECJA, GRECY;Grécia, gregos;GRECIA, GRIEGOS;GREKLAND, GREKER;GRESYA, MGA GRIEGO
1200001766;Greed;贪心;貪心;CHAMTIVOST;BEGÆR, HAVESYGE;Gier;ΑΠΛΗΣΤΙΑ;Ahneus;Avidité;TAMAK, KETAMAKAN;Avidità;貪欲;탐욕;HEBZUCHT;GRISKHET;CHCIWOŚĆ;Ganância;AVIDEZ;GIRIGHET;KASAKIMAN
1200001767;Greek;希腊语;希臘語;ŘEČTINA;GRÆSK;Griechisch;ΕΛΛΗΝΙΚΗ;Kreikan kieli;Grec;YUNANI, BAHASA;Greco;ギリシャ語;그리스어;GRIEKS;GRESK;GRECKI, JĘZYK;Grego;GRIEGO;GREKISKA;GRIEGO
1200001768;Greek Scriptures;;;ŘECKÁ PÍSMA;GRÆSKE SKRIFTER, DE;Griechische Schriften;ΕΛΛΗΝΙΚΕΣ ΓΡΑΦΕΣ;Kreikkalaiset kirjoitukset;;;;ギリシャ語聖書;그리스어 성경;GRIEKSE GESCHRIFTEN;GRESKE SKRIFTER, DE;GRECKIE, PISMA;;;GREKISKA SKRIFTERNA, DE;GRIEGONG KASULATAN
1200001769;Green;绿色;綠色;ZELENÁ;GRØN;Grün;ΠΡΑΣΙΝΟ;Vihreä;Vert;HIJAU;Verde;緑;푸른색;GROEN;GRØNT;ZIELONY KOLOR;Verde;VERDE;GRÖNT;LUNTIAN
1200001770;Greens;;;BYLINY;URTER;Kräuter;;Yrtit;;;;;나물;KRUIDEN;URTER;ZIOŁA;;;ÖRTER;GULAY
1200001771;Greeting;问好;問好;POZDRAV;HILSEN;Gruß;ΧΑΙΡΕΤΙΣΜΟΣ;Tervehtiminen;Salutations;SALAM;Saluto;あいさつ;인사;GROET;HILSEN;POZDROWIENIE;Cumprimento;SALUDO;HÄLSNING;PAGBATI
1200001772;Greyhound;猎狗;獵狗;CHRT;MYNDE;Windhund;ΛΑΓΩΝΙΚΟ;Vinttikoira;Lévrier;ANJING PEMBURU;Levriero;グレイハウンド;사냥개;HAZEWIND;MYNDE;CHART;Galgo;GALGO;VINTHUND;ASONG MATULIN
1200001773;Grief;悲痛;悲痛;ZÁRMUTEK;;Kummer;ΛΥΠΗ;Murhe;Chagrin;KEPEDIHAN HATI;Mestizia;悲嘆;비탄;DROEFHEID;;SMUTEK;Pesar;DESCONSUELO;BEDRÖVELSE;PAMIMIGHATI
1200001774;Ground;土地;土地;ZEMSKÁ PŮDA;;Boden, Land;ΕΔΑΦΟΣ;;Sol;TANAH;Suolo;地面;땅;;;GRUNT;Solo;SUELO;MARK;
1200001775;Guard;守卫;守衛;STRÁŽ;VAGT;Wache;ΦΡΟΥΡΟΣ, ΦΥΛΑΚΑΣ;Vartija, vartiomies;;JAGA, PENJAGA;Guardia;番兵，見張り，守衛;경비, 경비병;WACHT;VAKT;;Guarda;GUARDIA;VAKT;
1200001776;Guard, Gate of the;护卫门;護衛門;STRÁŽNÍ BRÁNA;VAGTPORTEN;Wachttor;;Vartioportti;;;;監視の門;경비대 문;POORT VAN DE WACHT;VAKTPORTEN;STRAŻY, BRAMA;Guarda, Portão da;GUARDIA, PUERTA DE LA;VAKTPORTEN;BANTAY, PINTUANG-DAAN NG
1200001777;Gudgodah;谷歌大;谷歌大;GUDGODA;GUDGODA;Gudgoda;ΓΑΔΓΑΔ;Gudgoda;Goudgoda;GUDGODA;Gudgoda;グドゴダ;굿고다;GUDGOD;GUDGODA;GUDGODA;Gudegodá;GUDGODA;GUDGODA;GUDGODA
1200001778;Guest;客人;客人;HOST;;Gast;ΦΙΛΟΞΕΝΟΥΜΕΝΟΣ;;Hôte;TAMU;;客;손님;GAST;;;Hóspede;HUÉSPED;;PANAUHIN
1200001779;Guilt;罪责;罪責;VINA;SKYLD;Schuld;ΕΝΟΧΗ;Syyllisyys;Culpabilité;;Colpa;罪科;죄과;SCHULD;SKYLD;;Culpa;CULPA;;PAGKAKASALA
1200001780;Guilt Offering;赎愆祭;贖愆祭;OBĚŤ ZA VINU;SKYLDOFFER;Schuldopfer;;Syyllisyysuhri;;;Colpa, Offerta per la;罪科の捧げ物;죄과 제물;SCHULDOFFER;SKYLDOFFER;DAR OFIARNY ZA PRZEWINIENIE;Oferta pela culpa;;SKULDOFFER;PAGKAKASALA, HANDOG UKOL SA
1200001781;Gull;鸥;鷗;RACEK;MÅGE;Möwe;ΓΛΑΡΟΣ;Lokki;Mouette;CAMAR;Gabbiano;かもめ;갈매기;MEEUW;MÅKE;MEWA;Gaivota;GAVIOTA;MÅS;GOLONDRINA
1200001782;Gulloth-maim;迦罗玛音;迦羅瑪音;GULLOT-MAJIM;GULLOT-MAJIM;Gulloth-Majim;ΓΟΥΛΛΩΘ‐ΜΑΪΜ;Gullot-Maim;Goulloth-Maïm;GULOT-MAIM;Gullot-Maim;グロト･マイム;굴롯-마임;GULLOTH-MAÏM;GULLOT-MAJIM;GULLOT-MAIM;Gulote-Maim;GULOT-MAIM;GULLOT-MAJIM;GULOT-MAIM
1200001783;Guni;古尼;古尼;GUNI;GUNI;Guni;ΓΟΥΝΙ;Guni;Gouni;GUNI;Guni;グニ;구니;GUNI;GUNI;GUNI;Guni;GUNÍ;GUNI;GUNI
1200001784;Gunites;古尼人;古尼人;GUNIOVCI;GUNITTER;Guniter;ΓΟΥΝΙΤΕΣ;Gunilaiset;Gounites;GUNI, KETURUNAN;Guniti;グニ人;구니 사람들;GUNIETEN;GUNITTER;GUNICI;Gunitas;GUNITAS;GUNITER;GUNITA, MGA
1200001785;Gur;古珥;古珥;GUR;GUR;Gur;ΓΟΥΡ;Gur;Gour;GUR;Gur;グル;구르;GUR;GUR;GUR;Gur;GUR;GUR;GUR
1200001786;Gurbaal;古珥巴力;古珥巴力;GURBAAL;GUR-BA’AL;Gur-Baal;ΓΟΥΡΒΑΑΛ;Gur-Baal;Gour-Baal;GURBAAL;Gurbaal;グルバアル;구르바알;GUR-BAÄL;GUR-BA’AL;GUR-BAAL;Gurbaal;GURBAAL;GUR-BAAL;GURBAAL
1200001787;Haahashtari;哈辖斯他利;哈轄斯他利;HAACHAŠTARI;HA’AHASJTARI;Haachaschtari;ΧΑΑΧΑΣΤΑΡΙ;Haahastari;Haahashtari;HAAHASTARI;Aastari;ハアハシュタリ;하아하스다리;AHASTARI;HA’AHASJTARI;ACHASZTARI;Haastari;HAAHASTARÍ;HAAHASHTARI;HAAHASTARI
1200001788;Habaiah;哈巴雅;哈巴雅;CHABAJÁŠ;HABAJA;Habaja;ΑΒΑΪΑΣ;Habaja;Habaïa;HABAYA;Abaia;ハバヤ;하바야;HABAJA;HABAJA;CHABAJASZ;Habaías;HABAYA;HABAJA;HABAIAS
1200001789;Habakkuk;哈巴谷;哈巴谷;HABAKUK;HABAKKUK;Habakuk;ΑΒΒΑΚΟΥΜ;Habakuk;Habaqouq;HABAKUK;Abacuc;ハバクク;하박국;HABAKUK;HABAKKUK;HABAKUK;Habacuque;HABACUC;HABACKUK;HABAKUK
1200001790;Habakkuk, Book of;哈巴谷书;哈巴谷書;HABAKUK (KNIHA);HABAKKUKS BOG;Habakuk (Buch);ΑΒΒΑΚΟΥΜ (ΒΙΒΛΙΟ);Habakukin kirja;Habaqouq (Livre de);HABAKUK, BUKU;Abacuc, Libro di;ハバクク書;하박국서;HABAKUK, HET BOEK;HABAKKUKS BOK;HABAKUKA, KSIĘGA;Habacuque, Livro de;HABACUC, LIBRO DE;HABACKUKS BOK;HABAKUK, AKLAT NG
1200001791;Habazziniah;哈巴洗尼雅;哈巴洗尼雅;CHABACCINJÁŠ;HABAZZINJA;Habazzinja;ΧΑΒΑΣΙΝΙΑΣ;Habassinja;Habatsinia;HABAZINIA;Abazzinia;ハバツィヌヤ;하바시냐;HABAZZINJA;HABASSINJA;CHABACCINIASZ;Habazinias;HABAZINÍAS;HABASSINJA;HABAZINIAS
1200001792;Habor;哈博;哈博;CHABOR;HABOR;Habor;ΧΑΒΩΡ;Habor;Habor;HABOR;Abor;ハボル;하볼;HABOR;HABOR;CHABOR;Habor;HABOR;HABOR;HABOR
1200001793;Hacaliah;哈迦利亚;哈迦利亞;CHAKALJÁŠ;HAKALJA;Hachalja;ΑΧΑΛΙΑΣ;Hakalja;Hakalia;HAKALIA;Acalia;ハカルヤ;하가랴;HACHALJA;HAKALJA;CHAKALIASZ;Hacalias;HACALÍAS;HAKALJA;HACALIAS
1200001794;Hachilah;哈基拉山;哈基拉山;CHAKILA;HAKILA;Hachila;ΑΧΕΛΑ;Hakila;Hakila;HAKHILA;Achila;ハキラ;하길라;HACHILA;HAKILA-HØYDEN;CHACHILA;Haquilá;HAKILÁ;HAKILAKULLEN;HAKILA
1200001795;Hachmoni;哈革摩尼;哈革摩尼;CHAKMONI;HAKMONI;Hachmoni;ΑΧΜΟΝΙ;Hakmoni;Hakmoni;HAKHMONI;Acmoni;ハクモニ;학모니;HACHMONI;HAKMONI;CHACHMONI;Acmoni;HACMONÍ;HAKMONI;HACMONI
